# catalogo de jogos do Astra — nome de executavel -> titulo
# destilado de https://discord.com/api/v9/applications/detectable
# 11104 entradas · instantaneo de 2026-08-27
# refazer com: node tools/atualizar-catalogo-de-jogos.mjs
-arcane raise-/game.exe	Arcane Raise
nothing/nothing.exe	Nothing
notruf 112/notruf112.exe	Emergency Call 112: The Fire Fighting Simulation
notruf 2 showroom/notruf 2 showroom.exe	Notruf 112 - Die Feuerwehr Simulation 2: Showroom
notruf2/notruf2019.exe	Emergency Call 112: The Fire Fighting Simulation 2
nova drift/novadrift.exe	Nova Drift
nova lands emilia's mission/nova lands - emilia’s mission.exe	Nova Lands: Emilia's Mission
nova lands/nova lands.exe	Nova Lands
nova-life/nova-life.exe	Nova-Life
nowhere prophet/nowhereprophet.exe	Nowhere Prophet
ns2.exe	Natural Selection 2
ns3fb.exe	NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst
nsfw studio/nsfw studio.exe	NSFW Studio
nsfwsolitaire_win64/nsfwsolitaire.exe	NSFW Solitaire
nsuns3.exe	NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst
nsuns4.exe	Naruto Shippuden: Ultimate Ninja Storm 4
nsunsr.exe	Naruto Shippuden: Ultimate Ninja Storm Revolution
ntr'd by clumsiness/ntrdbyclumsiness.exe	NTR'd By Clumsiness
ntunisdkdemo/demo.exe	MR QA
nubarron/nubarron.exe	Nubarron: The adventure of an unlucky gnome
nubby's number factory/nnf_fullversion.exe	Nubby's Number Factory
nubs!/nubs!.exe	Nubs! Arena
nuclear dawn/nucleardawn.exe	Nuclear Dawn
nuclear last darkness/nucleares.exe	Nucleares
nuclear option/nuclearoption.exe	Nuclear Option
nuclearthrone.exe	Nuclear Throne
nukitashi/nukitashi.exe	NUKITASHI
nunholy/nunholy.exe	Nunholy
nwn2 enhanced edition/nwn2.exe	Dungeons & Dragons Neverwinter Nights 2: Enhanced Edition
o2jam/o2jam.exe	O2Jam
oakgame/binaries/win64/borderlands4.exe	Borderlands 4
oasis/oasis.exe	Oasis VR
obamamaze/obama maze.exe	Obama Maze
obduction-win64-shipping.exe	Obduction
obenseuer/obenseuer.exe	Obenseuer
obey/obey.exe	OBEY
objectn/objectn.exe	Object N
oblivion.exe	The Elder Scrolls IV: Oblivion
oblivion/oblivion.exe	The Elder Scrolls IV: Oblivion
oblivion/obse_loader.exe	The Elder Scrolls IV: Oblivion
obradinn/obradinn.exe	Return of the Obra Dinn
obscura/obscura.exe	OBSCURA
obscure/obscure.exe	ObsCure
obscure2/obscure2.exe	OBSCURE: The Aftermath
observation/observation.exe	Observation
obsideo/obsideo.exe	Obsideo
occt/occt.exe	OCCT
occult/occult.exe	Occult
occupy mars prologue/occupymars-prolog.exe	Occupy Mars: Prologue
occupy mars the game demo/occupymars-prolog.exe	Occupy Mars: The Game Demo
occupy mars the game/occupymars.exe	Occupy Mars: The Game
octodad dadliest catch/octodaddadliestcatch.exe	Octodad: Dadliest Catch
octodad/octodad.exe	Octodad
octogeddon/octogeddon.exe	Octogeddon
odd realm/oddrealm.exe	Odd Realm
oddremedy/oddremedy.exe	Odd Remedy
oddworld abes exoddus/exoddus.exe	Oddworld: Abe's Exoddus
oddworld abes oddysee/abewin.exe	Oddworld: Abe's Oddysee
oddworld munchs oddysee/munch.exe	Oddworld: Munch's Oddysee
off demo/off.exe	OFF
off-peak/off-peak steam 2.0.exe	Off-Peak
off/off.exe	OFF
office space idle profits/officespace.exe	Office Space: Idle Profits
offroad mechanic simulator prologue - first job/offroad mechanic simulator prologue.exe	Offroad Mechanic Simulator
offspring fling.exe	Offspring Fling!
offworld.exe	Offworld Trading Company
ogat.exe	Of Guards and Thieves
ogu and the secret forest/oguforest.exe	Ogu and the Secret Forest
oh my god, look at this knight/oh_my_god__look_at_this_knight.exe	Oh My God, Look At This Knight
oh trap!/oh trap!.exe	Oh Trap!
oh...sir! the hollywood roast/ohsirthr.exe	Oh...Sir! The Hollywood Roast
oh...sir! the insult simulator/ohsir.exe	Oh...Sir!! The Insult Simulator
ohv/ohv.exe	OHV
okami.exe	ŌKAMI HD
okipullup/ok i pull up.exe	Ok I Pull Up
old coin pusher friends 2/oldcoinpusherfriends2.exe	Old Coin Pusher Friends 2
old coin pusher friends 3/oldcoinpusherfriends3.exe	Old Coin Pusher Friends 3
old coin pusher friends/kosen pusher friends.exe	Old Coin Pusher Friends
old man's journey/old mans journey.exe	Old Man's Journey
old market simulator prologue/old market simulator prologue.exe	Old Market Simulator: Prologue
old market simulator/old market simulator.exe	Old Market Simulator
old school musical/osm.exe	Old School Musical
old school rally/old school rally.exe	Old School Rally
old school runescape/client/osclient.exe	Old School RuneScape
old school/old school.exe	Old School
old world/oldworld.exe	Old World
oldage/oldage.exe	Oldage
olgame.exe	Outlast
olliolli world/olliolli world.exe	OlliOlli World
olliolli2.exe	OlliOlli2: Welcome to Olliwood
omegacrafter/omegacrafter.exe	Omega Crafter
omensight.exe	Omensight
omerta/omertasteam.exe	Omerta: City of Gangsters
omnibus/omnibus.exe	Omnibus
omon girl bottle royal/omon girl bottle royal.exe	Hentai Police
omon simulator/omon simulator.exe	OMON Simulator
omori/omori.exe	OMORI
omsi 2/omsi.exe	OMSI 2
once a porn a time/once a porn a time.exe	Once a Porn a Time
once human/once_human.exe	Once Human
onceuponakatamari/onceuponakatamari.exe	Once Upon A KATAMARI
one deck dungeon/onedeckdungeon.exe	One Deck Dungeon
one finger death punch 2/one finger death punch 2.exe	One Finger Death Punch 2
one finger death punch.exe	One Finger Death Punch
one hand clapping/one hand clapping.exe	One Hand Clapping
one military camp/one military camp.exe	One Military Camp
one night, hot springs/onsengame.exe	one night, hot springs
one piece bounty rush/bountyrush.exe	ONE PIECE: Bounty Rush
one piece burning blood/opbb.exe	One Piece: Burning Blood
one piece world seeker/opws.exe	One Piece: World Seeker
one punch man a hero nobody knows/opm.exe	One Punch Man: A Hero Nobody Knows
one step from eden/osfe.exe	One Step From Eden
one way heroics/game.exe	One Way Heroics
onebit adventure/onebit adventure.exe	OneBit Adventure
oneshift/oneshift.exe	OneShift
oneshot world machine edition/oneshotmg.exe	OneShot: World Machine Edition
oneshot.exe	OneShot
onetrollarmy/ota.exe	One Troll Army
oni-roadtobethemightiestoni/oni.exe	ONI: Road to be the Mightiest Oni
oni/oni.exe	Oni
onigiri shop simulator/onigirishopsimulator.exe	おにぎり屋さんシミュレーター
onigiri/onigiri.exe	Onigiri
onimusha/game.exe	Onimusha: Warlords
oninaki demo/oninaki demo.exe	Oninaki
onirism/onirism.exe	Onirism
only if/only if.exe	Only If
onlycans/onlycans thirst date.exe	OnlyCans: Thirst Date
onmyoji/client.exe	Onmyoji
onraid.exe	Onraid
onward.exe	Onward
onward/onward.exe	Onward
ooblets/ooblets.exe	Ooblets
ootp18.exe	Out of the Park Baseball 18
open at nine/openatnine.exe	Open At Nine
open mod early access prototype/open mod.exe	Open Mod
open world game the open world game/owgtowg.exe	Open World Game: The Open World Game
opencanvas 7/oc7.exe	openCanvas 7
openitg-pc.exe	OpenITG
openrct2.exe	RollerCoaster Tycoon 2: Triple Thrill Pack
openttd/openttd.exe	OpenTTD
operation flashpoint dragon rising/ofdr.exe	Operation Flashpoint: Dragon Rising
operation tango - demo/operation tango.exe	Operation: Tango - Demo
operation tango/operation tango.exe	Operation: Tango
operator/operator.exe	OPERATOR
oppw3.exe	One Piece: Pirate Warriors 3
oppw4/oppw4.exe	ONE PIECE: PIRATE WARRIORS 4
optimized/cubicodysseysteam.exe	Cubic Odyssey
opus magnum/lightning.exe	Opus Magnum
orb of creation/orb of creation.exe	Orb of Creation
orbital gear/orbitalgear.exe	Orbital Gear
orbt xl/orbtxl.exe	orbt xl
orbusvr/vrclient.exe	OrbusVR
orc massage/orcmassage.exe	Orc Massage
order of battle  pacific/autorun.exe	Order of Battle: World War II
order13/order13.exe	ORDER 13
organtrail.exe	Organ Trail: Director's Cut
ori and the will of the wisps/oriwotw.exe	Ori and the Will of the Wisps
ori.exe	Ori and the Blind Forest: Definitive Edition
oride.exe	Ori and the Blind Forest: Definitive Edition
oriental empires/oriental empires.exe	Oriental Empires
orion sandbox enhanced/orion sandbox enhanced.exe	Orion Sandbox Enhanced
orionclient-win64-shipping.exe	EMPULSE
orpheus's dream/orpheus's dream.exe	Orpheus's Dream
orwell ignorance is strength/ignorance.exe	Orwell: Ignorance is Strength
orwell.exe	Orwell: Keeping an Eye on You
orx demo/orx.exe	ORX Demo
osbuddy.exe	RuneScape
osbuddy64.exe	RuneScape
osirisnewdawn.exe	Osiris: New Dawn
osmos/osmos.exe	Osmos
ostranauts/ostranauts.exe	Ostranauts
ostriv/ostriv.exe	Ostriv
osu!.exe	osu!
otaku project/lovedelivery.exe	Love Delivery
otaku's adventure/play.exe	Otaku's Adventure
otaku's fantasy/otaku's fantasy.exe	Otaku's Fantasy
othercide/othercide.exe	Othercide
otherlandsclient-win64-shipping.exe	Rend
otherworld legends/otherworld legends.exe	Otherworld Legends
otwd-win64-shipping.exe	OVERKILL's The Walking Dead
otxo/otxo_release.exe	OTXO
our adventurer guild/our adventuring guild.exe	Our Adventurer Guild
our life beginnings and always/ourlife.exe	Our Life: Beginnings & Always
out of hand/out of hand.exe	Out of Hands
out of reach/outofreach.exe	Out of Reach
out of space/out of space.exe	Out of Space
out of the park baseball 19/ootp19.exe	Out of the Park Baseball 19
out of the park baseball 20/ootp20.exe	Out of the Park Baseball 20
out of the park baseball 21/ootp21.exe	Out of the Park Baseball 21
out of the park baseball 22/ootp22_x64.exe	Out of the Park Baseball 22
out of the park baseball 23/ootp23_x64.exe	Out of the Park Baseball 23
out of the park baseball 24/ootp24.exe	Out of the Park Baseball 24
out of the park baseball 25/ootp25.exe	Out of the Park Baseball 25
out of the park baseball 26/ootp26.exe	Out of the Park Baseball 26
out-windows/mafiaonline.exe	Mafia Online
outbound demo/outbound.exe	Outbound Demo / 아웃바운드 데모
outbrk/outbrk.exe	OUTBRK
outcast - a new beginning/o2.exe	Outcast: A New Beginning
outcore/outcore.exe	Outcore: Desktop Adventure
outdrive/outdrive.exe	OutDrive
outer wilds/outerwilds.exe	Outer Wilds
outlast2.exe	Outlast II
outpath first journey/outpath.exe	Outpath: First Journey
outpath/outpath.exe	Outpath
outpost/outpost.exe	Outpost
outriders-win64-shipping.exe	Outriders
outthereomega/outthereomega.exe	Out There: Omega Edition
outtheresomewhere/ots.exe	Out There Somewhere
outward/outward.exe	Outward
over 9000 zombies!/over9000zombies.exe	Over 9000 Zombies!
overboard!/overboard!.exe	Overboard!
overclocked/ocd.exe	Overclocked: A History of Violence
overclocked/overclocked.exe	Overclocked
overcooked! 2/overcooked2.exe	Overcooked! 2
overcooked! all you can eat/overcooked all you can eat.exe	Overcooked! All You Can Eat
overcooked.exe	Overcooked!
overcooked2.exe	Overcooked! 2
overcrowd/overcrowd.exe	Overcrowd: A Commute 'Em Up
overdungeon/windows-64bit.exe	Overdungeon
overgrowth.exe	Overgrowth
overload/overload.exe	Overload
overlooting/overlooting.exe	Overlooting
overlord/overlord.exe	Overlord
overwatch.exe	Overwatch
ovrdrop/ovrdrop.exe	OVRdrop
owinka shooter/owinka shooter.exe	Owinka Shooter
owlboy.exe	Owlboy
oxenfree ii lost signals/oxenfree2.exe	Oxenfree II: Lost Signals
oxenfree/oxenfree.exe	Oxenfree
oxygen first breath/o2/binaries/win64/o2-win64-shipping.exe	Oxygen
oxygennotincluded.exe	Oxygen Not Included
ozmafia/ozmafia.exe	Ozmafia!!
p3p/p3p.exe	Persona 3 Portable
p4u2/p4u2.exe	Persona 4 Arena Ultimax
p5r/p5r.exe	Persona 5 Royal
p5s/game.exe	Persona 5 Strikers
pa.exe	Planetary Annihilation: Titans
pac-man 256/pac-man256.exe	PAC-MAN 256
pac-man championship edition dx+/pac-man.exe	Pac-Man: Championship Edition DX+
pac-man museum plus/pac-man museum+.exe	Pac-Man Museum+
pac-man world 2 re-pac/pac-man world 2 re-pac.exe	Pac-Man World 2 Re-Pac
pac-man world re-pac/pac-man world re-pac.exe	PAC-MAN WORLD Re-PAC
pac-man/pac-man.exe	Arcade Game Series: Pac-Man
pacifish/pacifish.exe	Pacifish
paddle paddle paddle/paddle paddle paddle.exe	Paddle Paddle Paddle
painkiller.exe	Painkiller: Black Edition
paint the town red demo/paintthetownreddemo.exe	Paint the Town Red Demo
paint warfare/paint warfare.exe	Paint Warfare
paintball war.exe	Paintball War
paintballx/simple hostile.exe	PaintballX
paintersguild/paintersguild.exe	Painters Guild
paintthetownred.exe	Paint the Town Red
pairadice/pairadice.exe	Pair a Dice
palace-of-cards/palace.exe	Palace of Cards
paladins.exe	Paladins
paladinseac.exe	Paladins
paleo pines demo/paleo pines.exe	Paleo Pines Demo
paleo pines/paleo pines.exe	Paleo Pines
pancake sailor/pancake_sailor.exe	Pancake Sailor
pandemic/pandemic.exe	Pandemic: The Board Game
pankapu/pankapu.exe	Pankapu
pantheon rise of the fallen/pantheon.exe	Pantheon: Rise of the Fallen
panzer corps/autorun.exe	Panzer Corps
panzer knights/panzer knights.exe	Panzer Knights
papa's freezeria deluxe/papa's freezeria deluxe.exe	Papa's Freezeria Deluxe
papa's pizzeria deluxe/papa's pizzeria deluxe.exe	Papa's Pizzeria Deluxe
paper lily - chapter 1/paperlilych1.exe	Paper Lily: Chapter 1
paper lily - project kat/projectkat.exe	Project Kat: Paper Lily Prologue
paperhead ep0/play paperhead.exe	Paperhead Ep. 0
papersplease.exe	Papers, Please
paradigm/paradigm.exe	Paradigm
paradise cleaning!/cleaner.exe	Paradise Cleaning!
paradise lust/paradise lust.exe	Paradise Lust
paradox soul/paradox soul.exe	Paradox Soul
paragnosia/paragnosia.exe	Paragnosia
parallel experiment/parallel experiment.exe	Parallel Experiment
paranauticalactivity/paranautical activity.exe	Paranautical Activity: Deluxe Atonement Edition
paranoia place/paranoia place.exe	PARANOIA PLACE
paranormasight/paranormasight.exe	PARANORMASIGHT: The Seven Mysteries of Honjo
paratopicam001/paratopic.exe	Paratopic: Definitive Cut
parkasaurus/parkasaurus.exe	Parkasaurus
parking lot simulator/parkingsimulator.exe	Parking Tycoon: Business Simulator
parkitect/parkitect.exe	Parkitect
particle fleet emergence/particlefleet.exe	Particle Fleet: Emergence
party animals/partyanimals.exe	Party Animals
party club/partyclub.exe	Party Club
party hard 2/partyhard2game.exe	Party Hard 2
party hard/partyhardgame.exe	Party Hard
party jousting/game.exe	Party Jousting
party panic/partypanic.exe	Party Panic
party quiz/party quiz.exe	Party Quiz
pas/pas.exe	P.A.S.
passant a chess roguelike/passant.exe	Passant: A Chess Roguelike
passion industry/passionindustry.exe	Passion Industry
passpartout 2 the lost artist/passpartout2.exe	Passpartout 2: The Lost Artist
passpartout.exe	Passpartout: The Starving Artist
patapon12_replay/patapon12_replay.exe	Patapon 1+2 Replay
patch quest/patch quest.exe	Patch Quest
patch/tos.exe	Tree of Savior (Japanese Ver.)
patch/updater_downloader.exe	Tree of Savior
patchwork/pxw.exe	Patchwork
path of achra/pathofachra.exe	Path of Achra
path of exile 2 - poe2_production/pathofexile.exe	Path of Exile 2
path of exile 2 taiwan/pathofexile.exe	Path of Exile 2
path of exile 2 taiwan/pathofexilesteam.exe	Path of Exile 2
path of exile 2/pathofexile.exe	Path of Exile 2
path of exile 2/pathofexile_x64.exe	Path of Exile 2
path of exile 2/pathofexile_x64steam.exe	Path of Exile 2
path of exile 2/pathofexilesteam.exe	Path of Exile 2
path of exile taiwan/pathofexile.exe	Path of Exile
path of exile/pathofexile.exe	Path of Exile
path of exile/pathofexile_x64.exe	Path of Exile
path of exile/pathofexile_x64steam.exe	Path of Exile
path of exile/pathofexilesteam.exe	Path of Exile
path of exile2/pathofexile_kg.exe	Path of Exile 2
pathfinder adventures/pathfinderadventures.exe	Pathfinder Adventures
pathfinder second adventure/wrath.exe	Pathfinder: Wrath of the Righteous
pathless woods prologue/pathless woods.exe	Pathless Woods
pathofexile/pathofexileegs.exe	Path of Exile
pathofexile2/pathofexileegs.exe	Path of Exile 2
pathologic 3 quarantine/pathologic3.exe	Pathologic 3: Quarantine
pathologic/pathologic.exe	Pathologic 2
pathway/pathway.exe	Pathway
patrician iii/p3setup.exe	Patrician III
patrician iv/patrician4.exe	Patrician IV
patrick's parabox demo/patrick's parabox.exe	Patrick's Parabox Demo
patrick's parabox/patrick's parabox.exe	Patrick's Parabox
paunch 2/paunch 2.exe	Paunch 2
paunch/paunch.exe	Paunch
pavlov-win64-shipping.exe	Pavlov VR
pawn planet first sales/pawn planet first sales.exe	Pawn Planet: First Sales
pawnbarian/pawnbarian.exe	Pawnbarian
paxdei/paxdei.exe	Pax Dei
payday 2/payday2_win32_release_vr.exe	PAYDAY 2
payday2_win32_release.exe	PAYDAY 2
payday_win32_release.exe	PAYDAY: The Heist
pb/pbsvc.exe	Crysis Warhead
pbbg_win32.exe	Phantom Breaker: Battle Grounds
pc building simulator/pcbs.exe	PC Building Simulator
pc/chicory.exe	Chicory: A Colorful Tale
pc/mafia ii definitive edition.exe	Mafia II: Definitive Edition
pc/p5x.exe	Persona5: The Phantom X
pc/roadcraft - retail.exe	RoadCraft
pc/wandersong.exe	Wandersong
pc/warhammer 40000 space marine 2 - retail.exe	Warhammer 40,000: Space Marine II
pc/wwzretail.exe	World War Z: Aftermath
pc/wwzretailegs.exe	World War Z: Aftermath
pcars.exe	Project CARS
pcars2avx.exe	Project CARS 2
pcars64.exe	Project CARS
pcsx2-r5875.exe	PCSX2
pcsx2.exe	PCSX2
pctomb5.exe	Tomb Raider: Chronicles
peacedeath/peacedeath.exe	Peace, Death!
peak/peak.exe	PEAK
peaks of yore/peaks of yore.exe	Peaks of Yore
peaky blinders mastermind/peakyblinders.exe	Peaky Blinders: Mastermind
peeping dorm manager/peeping dorm manager.exe	Peeping Dorm Manager
peggle deluxe/peggle.exe	Peggle Deluxe
peggle/popcapgame1.exe	Peggle Deluxe
peggleextreme.exe	Peggle Extreme
peggleextreme/popcapgame1.exe	Peggle Extreme
pegidle/pegidle.exe	PegIdle
peglin demo/peglin.exe	Peglin Demo
peglin/peglin.exe	Peglin
pemsa/pemsa.exe	pemsa
pennysbigbreakaway/pennysbigbreakaway.exe	Penny's Big Breakaway
pentiment/pentiment.exe	Pentiment
penumbra black plague/oalinst.exe	Penumbra: Black Plague
people playground/people playground.exe	People Playground
pepper grinder/peppergrinder.exe	Pepper Grinder
per aspera/per aspera.exe	Per Aspera
peripeteia/peripeteia.exe	Peripeteia
perpetuum.exe	Perpetuum
persona 4 golden/p4g.exe	Persona 4 Golden
persona 5 tactica/persona 5 tactica.exe	Persona 5 Tactica
perspective/perspective.exe	Perspective
pesticidenotrequired/pesticide not required.exe	Pesticide Not Required
pet idle/pet idle.exe	Pet idle
pet shop simulator prologue/pet shop.exe	Pet Shop Simulator
pet shop simulator/pet shop.exe	Pet Shop Simulator
pets hotel prologue/pets hotel.exe	Pets Hotel
pets hotel/pets hotel.exe	Pets Hotel
pewdiepie legend of the brofist/pewdiepielegendofthebrofist.exe	PewDiePie: Legend of the Brofist
pga tour 2k21/golf.exe	PGA Tour 2K21
pga tour 2k23/pgatour2k23.exe	PGA TOUR 2K23
pga tour 2k25 first look/pgatour2k25.exe	PGA TOUR 2K25 First Look
pga tour 2k25/pgatour2k25.exe	PGA TOUR 2K25
phantasmal/phantasmal.exe	Phantasmal: City of Darkness
phantom brave pc/phantom brave pc.exe	Phantom Brave PC
phantom brigade/phantombrigade.exe	Phantom Brigade
phantom racing/phantom racing.exe	Phantom Racing
pharaoh + cleopatra/pharaoh.exe	Pharaoh + Cleopatra
pharaoh a new era/pharaoh.exe	Pharaoh: A New Era
phase_shift.exe	Phase Shift
phasmophobia/phasmophobia.exe	Phasmophobia
phobies/phobies.exe	Phobies
phoenix point/phoenixpointwin64.exe	Phoenix Point: Year One Edition
phoenix wright ace attorney trilogy/pwaat.exe	Phoenix Wright: Ace Attorney Trilogy
phogs! demo/phogs.exe	PHOGS! Demo
phogs!/phogs.exe	PHOGS!
physx/physx_8.10.29_systemsoftware.exe	Moonbase Alpha
physx/physx_systemsoftware.exe	Mirror's Edge
pic-me!/pic-me.exe	Pic-Me!
picayune dreams/picayunedreams.exe	Picayune Dreams
pick me pick me/pick me pick me.exe	Pick Me Pick Me
pickcrafter.exe	PickCrafter
pickle clicker/pickle clicker.exe	Pickle Clicker
pico park 2/pico_park_2.exe	PICO PARK 2
pico_park/pico_park.exe	PICO PARK:Classic Edition
pico_park_online/pico_park.exe	PICO PARK
picross touch/picross.exe	Picross Touch
pictopix/pictopix.exe	Pictopix
piercing blow/piercingblow.exe	Piercing Blow
piggy hunt/piggy-hunt.exe	PIGGY: Hunt
pikuniku/pikuniku.exe	PiKUNiKU
pile up!/pileup.exe	Pile Up!
pilgrims/pilgrims.exe	Pilgrims
pillarsofeternity.exe	Pillars of Eternity
pillarsofeternityii.exe	Pillars of Eternity II: Deadfire
pinaball arcade.exe	Pinball Arcade
pinball fx2/pinball fx2.exe	Pinball FX2
pinball fx3/pinball fx3.exe	Pinball FX3
pinballarcade.exe	Pinball Arcade
pincremental/pincremental.exe	Pincremental
pine/pine.exe	Pine
pineapple on pizza/pineapple on pizza.exe	Pineapple on Pizza
pineapple/metal slug xx.exe	Metal Slug XX
pingpongleague/pingpongleague.exe	Ping Pong League
pioneergame.exe	ARC Raiders
pioneers of pagonia/pioneers of pagonia.exe	Pioneers of Pagonia
pipe/pipe.exe	PIPE
pirate.exe	Pirate101
pirate101.exe	Pirate101
pirates of the burning sea/potbs.exe	Pirates of the Burning Sea
pirates of the caribbean - at worlds end/at worlds end.exe	Pirates of the Caribbean: At World's End
piratopia/piratopia.exe	Piratopia
pistol whip/pistol whip.exe	Pistol Whip
pitpeople.exe	Pit People
pixark.exe	PixArk
pixel battle royale/pixelbattleroyale.exe	Pixel Battle Royale
pixel coloring book/pixel art coloring book.exe	Pixel Art Coloring Book
pixel dungeon/pd.exe	Pixel Dungeon VR
pixel gun 3d pc edition/pixel gun 3d.exe	Pixel Gun 3D: PC Edition
pixel heroes - byte and magic.exe	Pixel Heroes: Byte & Magic
pixel painter/pixel painter.exe	Pixel Painter
pixel piracy/pixelpiracy.exe	Pixel Piracy
pixel puzzles ultimate/pixel puzzles ultimate.exe	Pixel Puzzles Ultimate
pixel starships/pixel starships.exe	Pixel Starships
pixel strike 3d/pixelstrike3d.exe	Pixel Strike 3D
pixel_dungeons.exe	Pixel Dungeon VR
pixelworlds.exe	Pixel Worlds
pizza connection 3/pizza connection 3.exe	Pizza Connection 3
pizza frenzy/popcapgame1.exe	Pizza Frenzy Deluxe
pizza possum/pizzapossum.exe	Pizza Possum
pizza slice demo/pizzaslice.exe	Pizza Slice (Demo)
pizza tower/pizzatower.exe	Pizza Tower
pizza-deathlivery/pizza deathlivery.exe	Pizza Deathlivery
pla_toon-win64-shipping.exe	pla_toon
placid plastic desktop/placid plastic desktop.exe	Placid Plastic Desktop
placid plastic duck simulator/placid plastic duck simulator.exe	Placid Plastic Duck Simulator
plagueincevolved.exe	Plague Inc: Evolved
plane mechanic simulator/pms_build.exe	Plane Mechanic Simulator
planes attack/planes attack.exe	Planes Attack
planes, bullets and vodka/planes, bullets and vodka.exe	Planes, Bullets and Vodka
planet centauri/planetcentauri.exe	Planet Centauri
planet coaster 2/planetcoaster2.exe	Planet Coaster 2
planet of lana demo/planet of lana.exe	Planet of Lana Demo
planet of lana/planet of lana.exe	Planet of Lana
planet s/plans.exe	Planet S
planet zoo/planetzoo.exe	Planet Zoo
planetary life/planetarylife.exe	Planetary Life
planetbase.exe	Planetbase
planetcoaster.exe	Planet Coaster
planetnomads.exe	Planet Nomads
planets under attack/game.exe	Planets Under Attack
planetside2_x64.exe	PlanetSide 2
planetside2_x86.exe	PlanetSide 2
plant therapy/plant therapy.exe	Plant Therapy
plantera 2 golden acorn/plantera2.exe	Plantera 2: Golden Acorn
plantera/plantera.exe	Plantera
plants vs. zombies/popcapgame1.exe	Plants vs. Zombies
plantsvszombies.exe	Plants vs. Zombies
plasma/plasma.exe	Plasma
plateup/plateup.exe	PlateUp!
platina lab/platina lab.exe	Platina: Lab
playbns.exe	Blade & Soul
playclaw 7/playclawapp64.exe	PlayClaw 7
playne-win64-shipping.exe	PLAYNE
playsnow.exe	snow
playtogether/playtogether.exe	Play Together
please, touch the artwork too/please, touch the artwork 2.exe	Please, Touch The Artwork 2
pleasure puzzle portrait/pp1.exe	Pleasure Puzzle: Portrait
pleh!/pleh!.exe	Pleh!
plokoth/plokoth.exe	Plokoth
plug & play/pnp.exe	Plug & Play
plunder panic/plunder panic.exe	Plunder Panic
plutocracy/plutocracy.exe	Plutocracy
pmc/datacachepreprocessor.exe	ArmA 2: Operation Arrowhead
pockedate/pockedate.exe	PockeDate!
pocket bravery demo/bravery.exe	Pocket Bravery
pocket mirror - goldenertraum/game.exe	Pocket Mirror: GoldenerTraum
pocket waifu pet/pocketwaifu.exe	Pocket Waifu: Desktop Pet
pocket waifu/pw_steam.exe	Pocket Waifu
poco/poco.exe	Poco
poe/pathofexile.exe	Path of Exile
pogostuck/pogostuck.exe	Pogostuck: Rage With Your Friends
poi.exe	Poi
pokemmo.exe	PokeMMO
pokemon trading card game online.exe	Pokémon Trading Card Game Online
poker championship/poker championship.exe	Poker Championship
poker night at the inventory/celebritypoker.exe	Poker Night at the Inventory
pokerlegends/pokerlegends.exe	Poker Legends: Tournaments
pokernight2.exe	Poker Night 2
pokerstars vr/pokerstarsvr.exe	Vegas Infinite by PokerStars
pokerstars.exe	PokerStars
pol.exe	FINAL FANTASY XI ONLINE
police stories the academy/policestories.exe	Police Stories: The Academy
police2.exe	This Is the Police 2
policestories/policestories.exe	Police Stories
political machine 2016/pm2016.exe	The Political Machine 2016
poly bridge 2/poly bridge 2.exe	Poly Bridge 2
poly bridge 3/poly bridge 3.exe	Poly Bridge 3
polyball/polyball.exe	Polyball
polybridge.exe	Poly Bridge
polygon/polygon.exe	POLYGON
polygonbitbattleroyaledemo/polygonbitbattleroyaledemo.exe	Polygon Bit Battle Royale
polygoneer/polygoneer.exe	Polygoneer
ponyisland.exe	Pony Island
pool cleaning simulator/pool cleaning simulator.exe	Pool Cleaning Simulator
pool nation/pool.exe	Pool Nation
pool panic/poolpanic.exe	Pool Panic
poolians.exe	Real Pool 3D - Poolians
pools/pools.exe	POOLS
popucom/popucom.exe	POPUCOM
populationone/populationone.exe	POPULATION: ONE
popup dungeon/popup dungeon.exe	Popup Dungeon
porcelain_tales/porcelain_tales.exe	Porcelain Tales
port royale 3/portroyale3.exe	Port Royale 3: Pirates & Merchants
port royale 4/portroyale4.exe	Port Royale 4
portal dungeon/portal dungeon.exe	Portal Dungeon
portal prelude rtx/hl2.exe	Portal: Prelude RTX
portal/hl2.exe	Portal
portal2.exe	Portal 2
portal_knights_x64.exe	Portal Knights
portia.exe	My Time at Portia
post void/post void.exe	Post Void
postal brain damaged demo/postal brain damaged.exe	POSTAL Brain Damaged Demo
postal brain damaged/postal brain damaged.exe	POSTAL: Brain Damaged
postal iii/p3.exe	Postal III
postal1/postal plus.exe	Postal
postal2.exe	Postal 2
postscriptum.exe	Squad 44
potion craft/potion craft.exe	Potion Craft
potion explosion/potionexplosion.exe	Potion Explosion
potion permit demo/potion permit.exe	Potion Permit Demo
potion permit/potion permit.exe	Potion Permit
potion tycoon/potion tycoon.exe	Potion Tycoon
povestka/povestka.exe	Summon
powder/powder.exe	The Powder Toy
power & revolution 2019 edition/_start.exe	Power & Revolution: 2019 Edition
power & revolution 2023 edition/_start.exe	Power & Revolution: 2023 Edition
power & revolution/_start.exe	Power & Revolution
power rangers battle for the grid/battleforthegrid.exe	Power Rangers: Battle for the Grid
